Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info
"Biologics","No","","80901","Terminated","LifeShare Blood Centers","214 Doctor Michael Debakey Dr","","Lake Charles","LA","	70601-5953","United States","Voluntary: Firm initiated","FAX","Ireland; Louisiana","B-0021-2019","Class II","Red Blood Cells, Leukocytes Reduced","1 unit","Blood products, collected from an ineligible donor, were distributed.","05/18/2018","10/05/2018","10/05/2018","10/17/2018","W036518641389;"
"Biologics","No","","80901","Terminated","LifeShare Blood Centers","214 Doctor Michael Debakey Dr","","Lake Charles","LA","	70601-5953","United States","Voluntary: Firm initiated","FAX","Ireland; Louisiana","B-0022-2019","Class II","Blood and Blood Products for Reprocessing","1 unit","Blood products, collected from an ineligible donor, were distributed.","05/18/2018","10/05/2018","10/05/2018","10/17/2018","W036518641389;"
"Devices","No","","80913","Terminated","Angiodynamics Inc. (Navilyst Medical Inc.)","10 Glens Falls Tech Park","","Glens Falls","NY","	12801-3864","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide in the state of IN.","Z-0076-2019","Class II","BioFlo Port with ENDEXO and PASV Technology-AngioDynamics BIOFLO 8F SINGLE PLASTIC NON-FILLED; VALVED PG UPN: H965440210 Catalog Number: 44-021	  Box of 1 Port - Product Usage - Long-term access to the central venous system for administration of fluids including but not limited to hydration fluids, chemotherapy, analgesics, nutritional therapy and blood products. The device is also indicated for blood specimen withdrawal.","1 box","BioFlo Ports was partially manufactured with the incorrect sterile port assembly.  The actual sterile port assembly used was, 8F SL Xcela Plus Titanium Valved Non-Filled, when it should have been, 8F SL BioFlo Plastic Valved Non-Filled","07/24/2018","10/05/2018","05/17/2019","10/17/2018","Lot Number: 5363172"
"Devices","No","","80932","Terminated","Instrumentation Laboratory Co.","180 Hartwell Rd","","Bedford","MA","	01730-2443","United States","Voluntary: Firm initiated","Letter","US Nationwide","Z-0077-2019","Class II","Hemosll ReadiPlasTin (10 mL Size), Part Number 0020301300 - Product Usage -  HemosIL¿ ReadiPlasTin is an in vitro diagnostic thromboplastin reagent, based on recombinant human tissue factor, for the quantitative determination, in human citrated plasma, of Prothrombin Time (PT) and Fibrinogen, on the ACL TOP¿ Family of analyzers. The product is intended to be used for the evaluation of the extrinsic coagulation pathway and the monitoring of Oral Vitamin K Antagonist Therapy.","9751 kits","There is a potential for increased imprecision, out of range quality controls and prolonged sample results.","08/01/2018","10/05/2018","04/16/2019","10/17/2018","Lot Number - N0278177  Exp. Date February 28, 2019"
"Devices","No","","80939","Terminated","Reckitt Benckiser LLC","399 Interpace Pkwy","","Parsippany","NJ","	07054-1133","United States","Voluntary: Firm initiated","Letter","US in the states of NY","Z-0091-2019","Class II","Polyisoprene condomns    Product Usage:  The Durex Synthetic polyisoprene male condom is used for contraception and for prophylactic purposes (to help prevent pregnancy and the transmission of sexually transmitted disease).  ","34 cartons/12 condoms each (408 condoms total)","Product marketed in U.S. does not have sufficient data to ensure that it will meet the internal burst pressure specifications at the end of 5 yrs shelf-life","08/06/2018","10/09/2018","11/12/2019","10/17/2018","Lot Number - 1000490884"
"Devices","No","","80945","Terminated","Bayer Medical Care, Inc.","1 Bayer Dr","","Indianola","PA","	15051-9702","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US Nationwide in the states of AL, AR, AZ, CA, CO, CT, FL, GA, HI, IA, ID, IL, IN, KS, LA, MA, ME, MI, MN, MO, NC, NE, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, and WI.  Foreign countries:  UAE, Austria, Australia, Bosnia and Herzegovina, Belgium, Bahrain, Canada, China, Chile, Costa Rica, Czechia, Denmark, German, Spain, Estonia, Egypt, Finland, France, Great Britain, Croatia, Hungary, Israel, Italy, Jordan, Kuwait, Kazakhstan, Lebanon, Lithuania, Morocco, Malta, Mexico, Netherlands, Norway, Oman, Panama, Poland, Portugal, Romania, Saudi Arabia, Sweden, Singapore, Slovenia, Thailand, and Turkey","Z-0097-2019","Class II","Codan Filter (Codan catalog number BC 693) used with Medrad Patient Administration Sets (PAS) and Intego PET Infusion Systems    Product Usage:  1.2 micron filter for use with Intravenous Administration Sets  ","1,142,836 (329,944 units in U.S.)","Bayer has received reports of loose particulate in the filter when the dust cap is removed. Bayer conducted further testing confirming the dust cap may generate particulate which may potentially enter the fluid path.","09/07/2018","10/11/2018","07/11/2019","10/17/2018","Batch Numbers 14888  72498  72789  74023  75221  17061  72501  72790  74161  75277  20046  72529  72990  74162  75278  20056  72541  73365  74568  75434  70091  72639  73372  74569  75435  72354  72677  73600  74570  75482  72362  72713  73827  74571  75603  72365  72714  73944  74758  75625  72422  72788  74022  75220  75733"
"Devices","No","","80959","Ongoing","Ortho-Clinical Diagnostics","100 Indigo Creek Dr","","Rochester","NY","	14626-5101","United States","Voluntary: Firm initiated","Letter","Nationwide  Foreign: France, Brazil, Chile, Great Britain, Phillippines, Spain","Z-0079-2019","Class II","VITROS 5600 Integrated System-For use in the in vitro quantitative, semi-quantitative, and qualitative measurement of a variety of analytes of clinical interest,  Catalog Number: 6802413    ","U.S.= 1255	ex-U.S.= 1504","Potential for the VITROS 5600 Integrated System to dispense an insufficient sample volume onto a MicroSlide without suppressing the potentially incorrect result.","08/15/2018","10/05/2018","","10/17/2018","Serial Numbers : J56000024 through J56003300"
"Devices","No","","80959","Ongoing","Ortho-Clinical Diagnostics","100 Indigo Creek Dr","","Rochester","NY","	14626-5101","United States","Voluntary: Firm initiated","Letter","Nationwide  Foreign: France, Brazil, Chile, Great Britain, Phillippines, Spain","Z-0080-2019","Class II","VITROS 5600 Integrated System- (Refurbished).  For use in the in vitro quantitative, semi-quantitative, and qualitative measurement of a variety of analytes of clinical interest,  Catalog Number: 6802915","U.S.= 66	ex-U.S.= 76","Potential for the VITROS 5600 Integrated System to dispense an insufficient sample volume onto a MicroSlide without suppressing the potentially incorrect result.","08/15/2018","10/05/2018","","10/17/2018","Serial Numbers:  US:  56000718  56001062  56000458  56000824  56000315  56001235  56000786  56000747  56000339  56000559  56000308  56000727  56000741  56000792  56000750  56000825  56001012  56001641  56001131  56000818  56000327  56000661  56000255  56001021  56000533  56001111  56001689  56001152  56001141  56000756  56000585  56000427  56000261  56001570  56001535  56001139  56000317  56001184  56001530  56001558  56001334  56001437  56000883  56001445  56000186  56000308  56000315  56000327  56000339  56000458  56000559  56000718  56000727  56000741  56000747  56000750  56000786  56000792  56000824  56000825  56001062  56001235  56001635  56001641  56000568  56001153    OUS:  Serial No  56000362  56000528  56000245  56000283  56000330  56000377  56000399  56000413  56000437  56000464  56000634  56000740  56000740  56000749  56000758  56000758  56000759  56000759  56000826  56001246  56001461  56001461  56000438  56000414  56000416  56000528  56000555  56000642  56000560  56000537  56000867  56000515  56001487  56000200  56000331  56000428  56000463  56000466  56000632  56000923  56000416  56000567  56001487  56000539  56000459  56000642  56000669  56001482  56000439  56000555  56000147  56000179  56000214  56000260  56000277  56000415  56000426  56000535  56000582  56000680  56000820  56000827  56000994  56001133  56001135  56001451  56001859  56000393  56001027  56000646  56001128  56000655  56000796  56001359  56001851  56000928"
"Drugs","No","10/15/2018","80964","Ongoing","Takeda Development Center Americas, Inc.","1 Takeda Pkwy","4034BB1","Deerfield","IL","	60015-5713","United States","Voluntary: Firm initiated","Letter","AR, LA, MS, NC, NJ, OH, PA, SC and Puerto Rico","D-0026-2019","Class II","Actoplus met XR (pioglitazone and metformin HCl, extended-release) tablets, 15 mg/1000 mg, Rx Only, 30 tablet bottle, Distributed by: Takeda Pharmaceuticals  America, Inc, Deerfield, IL 60015.  NDC: 64764-510-30","7,248 bottles","Defective Delivery System: tablets may be missing, in whole or in part, the laser drilled holes on the metformin core of the Actoplus met XR tablets.","09/10/2018","10/15/2018","","10/17/2018","Lot, expiry:  A26004, exp Apr 2020;  A26443 and A26444, exp Sep 2020"
"Devices","No","","80971","Terminated","Stryker Spine","2 Pearl Ct","","Allendale","NJ","	07401-1611","United States","Voluntary: Firm initiated","Letter","US Nationwide in the states:  CA, FL, GA, MI, MN, NJ, NM, and OR","Z-0092-2019","Class II","AVS Aria Cage, Catalog Number 48753212    Product Usage:  The Stryker Spine AVS¿ ARIA 1M PEEK Spacers are intervertebral body fusion devices indicated for use with autogenous bone graft in patients with degenerative disc disease (DDD) at one level or two contiguous levels from L2 to S1 . The AVS¿ ARIA TM PEEK Spacers are intended to be used with supplemental fixation systems that have been cleared for use in the lumbosacral spine.  ","5","The anterior and posterior markers on the cage were on the incorrect/opposite sides of the cage.","08/13/2018","10/09/2018","05/23/2019","10/17/2018","Lot Number 7HX"
