Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info
"Veterinary","No","08/22/2019","80582","Terminated","Gilman Cooperative Creamery Association","9920 115th Street NE","","Gilman","MN","	56333","United States","Voluntary: Firm initiated","Telephone","MN","V-0223-2019","Class I","Blend 985 Horse Mix Start","2,000 lbs.","Horse Feed may contain Monensin residue","06/15/2018","08/22/2019","09/10/2019","02/27/2019","Ticket # 445"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0948-2019","Class II","Carrot Stick","1","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #1444999"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0949-2019","Class II","Romanoff¿ CAVIAR WHITEFISH BLK¿2 oz (57g)¿  ","1","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #3519604"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0950-2019","Class II","Romanoff¿ CAVIAR WHITEFISH RED 2 oz","1","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #3519598"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0951-2019","Class II","Schreiber CHEESE AMER SLICE 184 CT","42","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #7010278"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0952-2019","Class II","Block and Barrel Classic	CHEESE AMERICAN LOAF YEL","1","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC # 6267272"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0953-2019","Class II","Roth Kase CHEESE BLND FIREHOUSE ULTMTE 2/5lb CASE","56","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #7005922"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0954-2019","Class II","Great Lakes CHEESE CHDR MILD SLI .75 OZ","83","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #7018132"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0955-2019","Class II","CABOT CHEESE CHDR WHTE TOM BASIL BAR 12/8 OZ","1","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #1681770"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0956-2019","Class II","CARRVLYCHEESE CHEDDAR CRNBRY CHIPOTLE 24/8 OZ  ","1","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #1492257"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0957-2019","Class II","WIEBE CHEESE CHEDDAR CTTNWOOD RIVER¿1/5 LBS","3","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #1492257"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0958-2019","Class II","Block and Barrel Imperial CHEESE CHEDDAR SHARP PRINT WHT 1/10 LB","58","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #9418641"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0959-2019","Class II","TRADCHS CHEESE CHEDDAR SMOKEY PRCT¿  1/9 LBS","3","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #1846155"
