Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info,More Code Info,More Code Info
"Food","No","","73580","Terminated","Royal Seafood Baza","175 Lake Ave","","Staten Island","NY","	10303-2727","United States","Voluntary: Firm initiated","E-Mail","NY & PA via retail stores","F-0385-2017","Class I","Refrigerated, Ready to Eat Herring in Brine under firms brand name FRESH SEAFOOD packaged in a 10.9 oz. (310g) plastic retail container  labeled in part ***FRESH**SEAFOOD**Herring Fillet in Oil Forelka Style**Net Wt. 10.0 oz. (310g)** UPC # 825512 004915","120 units","Royal Seafood Baza, Inc. has recalled all pickled products produced on 3/1/2016, 3/2/2016 and also all herring products produced on 2/29/2016 due to possible contamination with Listeria monocytogenes.","03/18/2016","11/08/2016","06/14/2018","11/16/2016","lot code 05.15.2016."
"Food","No","","73580","Terminated","Royal Seafood Baza","175 Lake Ave","","Staten Island","NY","	10303-2727","United States","Voluntary: Firm initiated","E-Mail","NY & PA via retail stores","F-0386-2017","Class I","Refrigerated, Ready to Eat Herring in Brine under firms brand name FRESH SEAFOOD packaged in a 16.2 oz. (460g) plastic retail container  labeled in part ***FRESH**SEAFOOD**Herring Fillet in Oil**Net Wt. 16.2 oz. (460g)*** UPC # 825512 004984","300 units","Royal Seafood Baza, Inc. has recalled all pickled products produced on 3/1/2016, 3/2/2016 and also all herring products produced on 2/29/2016 due to possible contamination with Listeria monocytogenes.","03/18/2016","11/08/2016","06/14/2018","11/16/2016","lot code 05.15.2016."
"Food","No","","73580","Terminated","Royal Seafood Baza","175 Lake Ave","","Staten Island","NY","	10303-2727","United States","Voluntary: Firm initiated","E-Mail","NY & PA via retail stores","F-0387-2017","Class I","Refrigerated, Ready to Eat Herring in Brine under firms brand name FRESH SEAFOOD packaged in a 16.2 oz. (460g) plastic retail container  labeled in part ***FRESH**SEAFOOD**Pacific Herring Fillet in Oil**Net Wt. 16.2 oz. (460g)*** UPC # 825512 004946","300 units","Royal Seafood Baza, Inc. has recalled all pickled products produced on 3/1/2016, 3/2/2016 and also all herring products produced on 2/29/2016 due to possible contamination with Listeria monocytogenes.","03/18/2016","11/08/2016","06/14/2018","11/16/2016","lot code 05.15.2016."
"Food","No","","73580","Terminated","Royal Seafood Baza","175 Lake Ave","","Staten Island","NY","	10303-2727","United States","Voluntary: Firm initiated","E-Mail","NY & PA via retail stores","F-0388-2017","Class I","Refrigerated, Ready to Eat Herring in Brine with no brand name as packaged bulk in a   plastic bucket labeled in part ***204883**HERRING DUNAYSKAYA BY PC***","80 units","Royal Seafood Baza, Inc. has recalled all pickled products produced on 3/1/2016, 3/2/2016 and also all herring products produced on 2/29/2016 due to possible contamination with Listeria monocytogenes.","03/18/2016","11/08/2016","06/14/2018","11/16/2016","Lot code in black ink on label: 02/29"
"Food","No","","73580","Terminated","Royal Seafood Baza","175 Lake Ave","","Staten Island","NY","	10303-2727","United States","Voluntary: Firm initiated","E-Mail","NY & PA via retail stores","F-0389-2017","Class I","Refrigerated, Ready to Eat Herring in Brine with no brand name as packaged bulk in a plastic bucket labeled in part ***204311**HERRING SUPER DUNAYSKAYA BY PC***","400 units","Royal Seafood Baza, Inc. has recalled all pickled products produced on 3/1/2016, 3/2/2016 and also all herring products produced on 2/29/2016 due to possible contamination with Listeria monocytogenes.","03/18/2016","11/08/2016","06/14/2018","11/16/2016","Lot code in black ink on label: 02/29"
"Food","No","","73580","Terminated","Royal Seafood Baza","175 Lake Ave","","Staten Island","NY","	10303-2727","United States","Voluntary: Firm initiated","E-Mail","NY & PA via retail stores","F-0390-2017","Class I","Refrigerated, Ready to Eat Herring in Brine with no brand name as packaged bulk in a   plastic bucket labeled in part ***204857**HERRING NORWAY SUPER JUMBO BY PC***","","Royal Seafood Baza, Inc. has recalled all pickled products produced on 3/1/2016, 3/2/2016 and also all herring products produced on 2/29/2016 due to possible contamination with Listeria monocytogenes.","03/18/2016","11/08/2016","06/14/2018","11/16/2016","Lot code in black ink on label: 02/29"
"Food","No","","73580","Terminated","Royal Seafood Baza","175 Lake Ave","","Staten Island","NY","	10303-2727","United States","Voluntary: Firm initiated","E-Mail","NY & PA via retail stores","F-0391-2017","Class I","Refrigerated, Ready to Eat Herring in Brine with no brand name as packaged bulk in a    plastic bucket labeled in part ***204709**HERRING FILLET SUPER DUNAYSKAYA BY PC***","200 units","Royal Seafood Baza, Inc. has recalled all pickled products produced on 3/1/2016, 3/2/2016 and also all herring products produced on 2/29/2016 due to possible contamination with Listeria monocytogenes.","03/18/2016","11/08/2016","06/14/2018","11/16/2016","Lot code in black ink on label: 02/29"
"Food","No","","73580","Terminated","Royal Seafood Baza","175 Lake Ave","","Staten Island","NY","	10303-2727","United States","Voluntary: Firm initiated","E-Mail","NY & PA via retail stores","F-0392-2017","Class I","Refrigerated, ready-to-eat Korean Carrot Salad packaged in bulk 25 Lb. white plastic bucket labeled in part ***204034**SALAD KOREAN CARROT BY LB***","30 units","Royal Seafood Baza, Inc. has recalled all pickled products produced on 3/1/2016, 3/2/2016 and also all herring products produced on 2/29/2016 due to possible contamination with Listeria monocytogenes.","03/18/2016","11/08/2016","06/14/2018","11/16/2016","Lot code in black ink on label: 03/02"
"Food","No","","73580","Terminated","Royal Seafood Baza","175 Lake Ave","","Staten Island","NY","	10303-2727","United States","Voluntary: Firm initiated","E-Mail","NY & PA via retail stores","F-0393-2017","Class I","Refrigerated, ready-to-eat SOUR CABBAGE BY LB packaged in a 25 Lb. bulk white plastic bucket labeled in part ***204023**MARINATED CABBAGE BY LB***","92 units","Royal Seafood Baza, Inc. has recalled all pickled products produced on 3/1/2016, 3/2/2016 and also all herring products produced on 2/29/2016 due to possible contamination with Listeria monocytogenes.","03/18/2016","11/08/2016","06/14/2018","11/16/2016","Lot code in black ink on label: 03/02"
"Food","No","","73580","Terminated","Royal Seafood Baza","175 Lake Ave","","Staten Island","NY","	10303-2727","United States","Voluntary: Firm initiated","E-Mail","NY & PA via retail stores","F-0394-2017","Class I","Refrigerated, ready-to-eat marinated oyster mushrooms packaged in a 4.5 Lb. small clear plastic bucket labeled in part ***204139**MARINATED OYSTERS BY LB***","35 units","Royal Seafood Baza, Inc. has recalled all pickled products produced on 3/1/2016, 3/2/2016 and also all herring products produced on 2/29/2016 due to possible contamination with Listeria monocytogenes.","03/18/2016","11/08/2016","06/14/2018","11/16/2016","Lot code in black ink on label: 03/02"
