Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info
"Veterinary","No","","75559","Terminated","Cache Commodities Incorporated","860 W 24th St","","Ogden","UT","	84401-1231","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Utah, Idaho, and Wyoming.  No government, VA/govt/military consignees.","V-0154-2017","Class I","Commercial Rabbit, Complete feed for all rabbits with high energy requirements, 50 lb bag, Packaged in white, poly blend bags, Store feed in a dry area, Distributed by Cache Commodities, Inc., Ogden, Utah","3472 bags","high levels of Vitamin D","10/21/2016","06/19/2017","03/08/2019","06/28/2017","Product Code CR045;   Date, Release Number, Lot Numbers:  6/15/16, 152136-1, 16166-01 and 16166-02;   07/15/16, 152335-19, 16196-01 and 16196-02;   07/18/16, 152489-1, 16199-01 and 16199-02;   07/30/16, 152641-7, 16211-01 and 16211-02;   08/17/16, 152766-53, 16229-01 and 16229-02;   09/08/16, 153016-26, 16251-01 and 16251-02;   10/18/16, 153213-27, 16291-01 and 16291-02;   10/19/16, 153597-26, 16292-01 and 16292-02."
"Veterinary","No","","75559","Terminated","Cache Commodities Incorporated","860 W 24th St","","Ogden","UT","	84401-1231","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Utah, Idaho, and Wyoming.  No government, VA/govt/military consignees.","V-0155-2017","Class I","Family Rabbit #1318","157","high levels of Vitamin D","10/21/2016","06/19/2017","03/08/2019","06/28/2017","Product Code CR046  and Lot Number 152292-53; Date 07/18/16"
"Veterinary","No","","75559","Terminated","Cache Commodities Incorporated","860 W 24th St","","Ogden","UT","	84401-1231","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Utah, Idaho, and Wyoming.  No government, VA/govt/military consignees.","V-0156-2017","Class I","Jensen Custom Mix","153","high levels of Vitamin D","10/21/2016","06/19/2017","03/08/2019","06/28/2017","Product Code 5257 and Lot Number 152789-10 ; Date 08/18/16"
"Devices","No","","77202","Terminated","Vascular Solutions, Inc.","6464 Sycamore Ct N","","Maple Grove","MN","	55369-6032","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US (nationwide): including states of: AK, AL, AR, AZ, CA, CO, CT, DC,FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MN, MO, ME, MI, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY; and countries of: AUSTRALIA, AUSTRIA, BELGIUM, BRAZIL, CANADA, CZECH REPUBLIC, EGYPT, FINLAND, FRANCE, GERMANY, GREECE, HONG KONG, IRELAND, ISRAEL, ITALY, LEBANON, NETHERLANDS, NORWAY, POLAND, RUSSIA, SAUDI ARABIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, TURKEY,and UK.","Z-2224-2017","Class I","Venture RX Catheter, Model 5820; Venture OTW Catheter, Model 5821; Venture CS Catheter, Model 5822.  Sterilized using ethylene oxide, Rx Only.     The Venture catheter is indicated for directing, steering, controlling, and supporting a guidewire to access discrete regions of the coronary and peripheral vasculature. The OTW versions (Models 5821 and 5822) may also be used for manual delivery of saline solution or diagnostic contrast agents","13,551 (7,054 are unexpired)","Vascular Solutions, Inc. (VSI) is voluntarily removing all lots of Venture catheters due to a potential problem.  Venture RX (Model 5820), Venture OTW (Model 5821), and Venture CS (Model 5822) catheters. After an internal investigation, VSI determined that material used in catheter construction may detach from within the lumen of the distal tip during use.","04/25/2017","06/20/2017","11/05/2019","06/28/2017","581713 582455 582588 583022 583409 583410 584469 584470 599777  584471 585180 585458 585459 585787 586408 586972 587035  587036 587408 587775 588097 588098 588099 588100 588794  589268 589754 589885 589886 590172 590404 590562 590776  591196 591197 591198 592080 592081 592526 592924 593080  593519 593520 593720 594204 594421 595195 595196 595418  595419 596020 597293 597294 597771 597905 597967 598903  599045 599466 599650 599903 601196 601745 601746 602260  603987 603988 603990 603991 604049 604500 604862 605617"
"Food","No","","77322","Terminated","Herbmed USA Company Inc.","99 Jericho Tpke","Ste 300E","Jericho","NY","	11753-1073","United States","Voluntary: Firm initiated","Letter","China","F-2387-2017","Class I","NutriHeal OPTIMAL CHOLESTEROL Traditional Vegetarian Blend Herbal Supplement, 60 Tablets. Distributed By: Herbmed USA Company Inc.","20,000","Product contains undeclared milk.","05/26/2017","06/21/2017","09/08/2017","06/28/2017","Lot#0401916  Exp 04/2019"
"Food","No","","77328","Terminated","H & C Food Inc","1300 Metropolitan Ave","","Brooklyn","NY","	11237-1104","United States","Voluntary: Firm initiated","Telephone","NY","F-2381-2017","Class I","Master Carton is Labeled As: LOBSTER FLAVORED BALL DISTRIBUTED EXCLUSIVELY BY: H & C FOOD INC. BROOKLYN, NY 11237 KEEP FROZEN AT -18 C","300 cases","Product may contain undeclared egg,","05/22/2017","06/19/2017","10/12/2018","06/28/2017","All lots within expiry."
"Food","No","","77412","Terminated","Monfitello","2700 Jean-Baptiste-Deschamps Blvd","","Lachine","","	","Canada","Voluntary: Firm initiated","E-Mail","Products were shipped to the following states: AK, AL, AR, AZ, CA, CO, GA, ID, IL, IN, KS, KY, LA, MI, MO, MS, MT, NC, NE, NM, NV, OH, OR, SC, TN, TX, UT, VA, WA, WV & WY.","F-2372-2017","Class I","PRIVATE SELECTION AFRICAN - INSPIRED PERI PERI  CHILI CULINARY SPICE PASTE NET WT 4 OZ (113g) UPC 0 11110 80699 4 DISTRIBUTED BY THE KROGER CO., CINCINNATI, OHIO 45202 MADE IN CANADA","3,244 cs/6/4 oz tubes","The firm was notified that the product may contain peanuts.","05/26/2017","06/16/2017","04/12/2018","06/28/2017","Best By: MAR 23 2018, Lot #'s: L209317/1A, L209417/1A, L212817/1A, L213217/1A"
"Food","No","","77412","Terminated","Monfitello","2700 Jean-Baptiste-Deschamps Blvd","","Lachine","","	","Canada","Voluntary: Firm initiated","E-Mail","Products were shipped to the following states: AK, AL, AR, AZ, CA, CO, GA, ID, IL, IN, KS, KY, LA, MI, MO, MS, MT, NC, NE, NM, NV, OH, OR, SC, TN, TX, UT, VA, WA, WV & WY.","F-2373-2017","Class I","Private Selection Peruvian Inspired Aji Amarillo Culinary Spice Paste NET WT 4 OZ (113g) INGREDIENTS: SOY SAUCE***CONTAINS: SOY. DISTRIBUTED BY THE KROGER CO., CINCINNATI, OHIO 45202 MADE IN CANADA","384 cs/6/4 oz tubes","The firm was notified that the product may contain peanuts.","05/26/2017","06/16/2017","04/12/2018","06/28/2017","Best By: MAR 20 2018. Lot # L213217/2A"
"Food","No","","77425","Terminated","Blue Diamond Growers","1802 C St","","Sacramento","CA","	95811-1010","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","CA, IL, TX,  NY, WA","F-2389-2017","Class I","Blue Diamond Almonds Blanc DCD FN C (blanched diced fine);  NET WT 11.34 Kg, 25 lbs. corrugated carton with poly liner;  Product of the USA.  Blue Diamond Almonds, Sacramento, CA","859 cartons x 25 lbs.","Firm was notified by customer of a positive Salmonella result obtained when testing of the product on receipt.","05/31/2017","06/22/2017","09/12/2017","06/28/2017","Lot 116177160;  Batch 1000124301.  Item 10522 BLAN DCD FN C"
"Devices","No","","76915","Terminated","Siemens Healthcare Diagnostics, Inc.","500 Gbc Dr Ms 514","PO BOX 6101","Newark","DE","	19702-2466","United States","Voluntary: Firm initiated","Letter","Product was distributed throughout the United States and Canada, United Arab Emirates, Argentina, Austria,Australia,Bangladesh,Belgium,Brazil,Canada  Switzerland,China,Columbia,Czech Republic,Germany,Denmark,Algeria  Egypt,Spain,Finland,France,Great Britain,Greece,Croatia,Indonesia,Ireland  India,Italy,Japan,Canary Islands,Republic of Korea,Kuwait,Lebanon,Latvia  Macedonia,Netherlands,Norway,New Zealand,Philippines,Poland,Portugal  Qatar,Saudi Arabia,Slovenia,Slovakia,Turkey,Taiwan,South Africa","Z-2606-2017","Class II","Dimension Troponin 1 (TNI) Flex reagent cartridge","70,428 units","The concentrations for Biotin listed in the Non-Interfering Substances section of the current Dimension and Dimension Vistat Instructions for Use (IFU) for Dimension TNI, Dimension Vista DIGXN, E2, FERR, PRL, and TSH have incorrect units, and incorrectly state the level at which biotin does not interfere.","03/21/2017","06/16/2017","08/03/2018","06/28/2017","Device Listing Number # D056469  Lot # EB7091, EC7104, EA7125, ED7193, EA7161, EB7173, EC7229, ED7236  EA7250, ED7271, EB7315, EB7342      """
